property,name,status,evidence,scope,publication_safe_wording
P1,Nominal reachability,PASS,baseline_regressions.csv: happy; native baseline_validation.txt,actual finite executions and their recorded prefixes; signatures are strings,A native existential witness was observed.
P2,Failure terminal reachability,PASS,baseline_regressions.csv: seven failure causes; native baseline_validation.txt,actual finite executions and their recorded prefixes; signatures are strings,A native existential witness was observed.
P3,No unfinished global deadlock,PASS IN TESTED DOMAIN,quiescence_summary.csv; fixture_exploration.csv; interleaving_executions.csv; raw endpoint markings,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P4,Commit-before-share,PASS IN TESTED DOMAIN,anchor_ordering.csv; complete_bindings.csv; raw per-step markings,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P5,Anchoring consistency,PASS IN TESTED DOMAIN,anchor_ordering.csv; native ANCHOR_ATOMIC records and synchronized participant sets,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P6,Invalid student signature safety,PASS IN TESTED DOMAIN,fixture_exploration.csv invalid-student rows; complete_bindings.csv; raw traces,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P7,Invalid issuer signature safety,PASS IN TESTED DOMAIN,fixture_exploration.csv invalid-issuer rows; complete_bindings.csv; focused replay,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P8,Reference retention,PASS IN TESTED DOMAIN,reference_retention.csv; native identity ownership checks,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P9,Terminal outcome consistency,PASS IN TESTED DOMAIN,outcome_consistency.csv; raw exact final cause tuples,actual finite executions and their recorded prefixes; signatures are strings,No violation was observed in the executed fixtures/checkpoints; NOT EXHAUSTIVELY VERIFIED.
P10,Transition coverage,PASS IN TESTED DOMAIN,transition_coverage.csv; baseline/focused/new native BINDING and BOOTSTRAP records,actual finite executions and their recorded prefixes; signatures are strings,Directed experimental transition coverage only; unobserved does not mean unreachable.
