fixture_id,decision,feasibility,reason,evidence
f01,accept,AVAILABLE,native complete binding,raw/f01_auto.txt
f01,reject,AVAILABLE,native complete binding,raw/f01_auto.txt
f01,cancel,AVAILABLE,native complete binding,raw/f01_auto.txt
f01,expire,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f01_auto.txt
f01,student_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f01_auto.txt
f01,issuer_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f01_auto.txt
f02,accept,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f02_auto.txt
f02,reject,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f02_auto.txt
f02,cancel,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f02_auto.txt
f02,expire,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f02_auto.txt
f02,student_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f02_auto.txt
f02,issuer_denial,AVAILABLE,native complete binding,raw/f02_auto.txt
f03,accept,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f03_auto.txt
f03,reject,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f03_auto.txt
f03,cancel,AVAILABLE,native complete binding,raw/f03_auto.txt
f03,expire,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f03_auto.txt
f03,student_denial,AVAILABLE,native complete binding,raw/f03_auto.txt
f03,issuer_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f03_auto.txt
f04,accept,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f04_auto.txt
f04,reject,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f04_auto.txt
f04,cancel,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f04_auto.txt
f04,expire,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f04_auto.txt
f04,student_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f04_auto.txt
f04,issuer_denial,AVAILABLE,native complete binding,raw/f04_auto.txt
f05,accept,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f05_auto.txt
f05,reject,AVAILABLE,native complete binding,raw/f05_auto.txt
f05,cancel,AVAILABLE,native complete binding,raw/f05_auto.txt
f05,expire,AVAILABLE,native complete binding,raw/f05_auto.txt
f05,student_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f05_auto.txt
f05,issuer_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f05_auto.txt
f06,accept,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f06_auto.txt
f06,reject,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f06_auto.txt
f06,cancel,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f06_auto.txt
f06,expire,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f06_auto.txt
f06,student_denial,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f06_auto.txt
f06,issuer_denial,AVAILABLE,native complete binding,raw/f06_auto.txt
f07,accept,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f07_auto.txt
f07,reject,INFEASIBLE,no native complete binding; guards/signature equality/phase exclude it,raw/f07_auto.txt
f07,cancel,AVAILABLE,native complete binding,raw/f07_auto.txt
