fixture_id,grade,current_time,student_signature_class,issuer_signature_class,decision_trace_id,transition_sequence,final_classification,final_outcome,enabled_bindings_at_end,active_unfinished,retained_references,violated_properties
f01,80,0,valid,valid,f01_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_GenerateVP;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
f01,80,0,valid,valid,f01_ledger_reject,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Reject,EXPECTED_FAILURE_TERMINATION,LEDGER_REJECTED,0,0,11/11,
f01,80,0,valid,valid,f01_reject,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_RejectCredential,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,0,0,11/11,
f01,80,0,valid,valid,f01_cancel,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
f02,80,0,valid,invalid,f02_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
f03,80,0,invalid,valid,f03_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_DenyInvalidSignature,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE,0,0,11/11,
f03,80,0,invalid,valid,f03_cancel,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
f04,80,0,invalid,invalid,f04_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
f05,80,100,valid,valid,f05_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_RejectCredential,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,0,0,11/11,
f05,80,100,valid,valid,f05_cancel,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
